Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Investigator or Source
1971.04.16R,Reported 16-Apr-1971,1971,Unprovoked,KENYA,Coast Province,Watamu,Swimming,M,16,Right foot bitten,N,,M. v. Schoor
1971.04.11,11-Apr-1971,1971,Unprovoked,SOUTH AFRICA,Western Cape Province,Buffels Bay,Swimming,M,50,"FATAL, multiple bites ",Y,morning,"J. Wallace, ORI; M. Levine, GSAF; T. Wallett, pp.39-40"
1971.04.06,6-Apr-1971,1971,Unprovoked,MEXICO,Guerrero,"Copacabana Beach, Acapulco",Surfing,M,19,"FATAL, left thigh bitten ",Y,morning,"A.Resciniti, p.109"
1971.03.30,30-Mar-1971,1971,Unprovoked,NEW ZEALAND,South Island,Dunedin,Surfing,M,16,Lacerations to left leg ,N,morning,"B. Watkins, R. D. Weeks, GSAF "
1971.01.02,02-Jan-1971,1971,Unprovoked,AUSTRALIA,Tasmania,,Swimming,M,,Torso lacerated,N,afternoon,"C. Black, GSAF; H.D. Baldridge (1994) SAF Case #1650"
1971.00.00.c,1971,1971,Unprovoked,AUSTRALIA,South Australia,Southport,Surfing,M,15,Severe lacerations to thigh,N,,The Advertiser (undated)
1970.12.17,17-Dec-1970,1970,Unprovoked,MOZAMBIQUE,Inhambe Province,"Inhasoka, Inhambe Bay",Fishing for prawns,M,18,"FATAL, arm severed  ",Y,afternoon,"GSAF; H.D. Baldridge, p.22"
1970.12.13,13-Dec-1970,1970,Unprovoked,MOZAMBIQUE,Inhambe Province,"Inhambe Bay Estuary, 10 to 12 miles inland from the sea",Fishing for prawns,M,20,"FATAL, decapitated and arm severed",Y,,"GSAF; H.D. Baldridge, p.22"
1970.12.07,07-Dec-1970,1970,Unprovoked,MICRONESIA,Namonuito Atoll,Pisarach (Pisaras),Fishing,M,,Laceration to thigh,N,,R.S. Jones
1970.12.03,03-Dec-1970,1970,Sea Disaster,USA,Hawaii,Kauai,Shipwreck,M,41,Right thigh lacerated,N,,"The Argus, 12/7/1970, p.2"
1970.10.24,24-Oct-1970,1970,Unprovoked,USA,Hawaii,"Brennecke Beach, Po'ipu, Kaua'i",Body surfing,M,,Shoulder & arm bitten,N,,"J. Borg, p.74; L. Taylor (1993), pp.102-103"
1970.10.00,Oct-1970,1970,Unprovoked,USA,Florida,"Matanzas Inlet, St Johns County",Surfing,M,,Bitten on right leg above the ankle,N,,"H. Wessel, Orlando Sentinel, 8/1/2001 "
1970.09.28,28-Sep-1970,1970,Unprovoked,MICRONESIA,Eastern Caroline Islands,Truk Lagoon,Diving,M,43,Lacerations & punctures to right arm & shoulder ,N,morning,R.S. Jones
1970.09.13,13-Sep-1970,1970,Provoked,PALAU,Western Caroline Islands (North Pacific Ocean),Outside barrier reef,Spearfishing,M,20,"Another diver shot shark, shark bit his left foream  PROVOKED INCIDENT",N,,"K.R.H. Read; H.D. Baldridge, p.192"
1970.09.05,05-Sep-1970,1970,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Floating on a raft,M,18,Laceration to left foot,N,morning,"St. Petersburg Times, 9/7/1970, p.12B"
1970.09.02,02-Sep-1970,1970,Provoked,AUSTRALIA,New South Wales,"Marineland, Sydney",,M,20,PROVOKED INCIDENT,N,,"J. Green, p.36"
1970.09.00.c,Sep-1970,1970,Unprovoked,USA,South Carolina,,Swimming,M,,Foot lacerated,N,,"H.D. Baldridge (1994), SAF Case #1630"
1970.09.00.a,Sep-1970,1970,Unprovoked,USA,Florida,Pinellas County,Scuba diving,M,,Calf / knee injured?,N,,SAF Case #1485
1970.06.22,22-Jun-1970,1970,Provoked,USA,Florida,"Dania, Broward County",Fishing,M,13,Bitten on calf by hooked shark PROVOKED INCIDENT,N,,Bridgeport Post 6/22/1970
1970.06.15,15-Jun-1970,1970,Provoked,SOUTH AFRICA,KwaZulu-Natal,"Shark tank, Oceanographic Research Institute, Durban",Scuba Diving,M,25,2 cm laceration on knee PROVOKED INCIDENT,N,afternoon,"D. Davies; A.J. Bass, ORI"
1970.06.13.b,13-Jun-1970,1970,Unprovoked,GRENADA,St. Andrew Parish,Grenville,Wading,M,16,"FATAL, multiple injuries to both legs  ",Y,afternoon,"E. Pace, FSAF"
1970.06.13.a,13-Jun-1970,1970,Unprovoked,GRENADA,St. Andrew Parish,Grenville,Wading,M,18,"FATAL, body not recovered",Y,afternoon,"E. Pace, FSAF"
1970.04.04,4-Apr-1970,1970,Unprovoked,GRENADA,St. Andrew Parish,Grenville,Swimming,M,14,"FATAL, body not recovered",Y,afternoon,"E. Pace, FSAF"
1970.03.31,31-Mar-1970,1970,Invalid,USA,Hawaii,"Waimea Bay, O'ahu",Body surfing,M,,"Swept out to sea,  5.5 m [18'] shark seen in the vicinity, body not recovered. ",,,"J. Borg, p.74"
1970.03.23,23-Mar-1970,1970,Unprovoked,USA,Florida,Manatee County,Wading,M,19,Foot & calf lacerated,N,,H.D. Baldridge (1994) SAF Case #1620
1970.01.23.d,23-Jan-1970,1970,Unprovoked,MOZAMBIQUE,Limpopo River,3.2 km inland,Swimming,M,14,"Hands severed, forearm severely lacerated",N,,"Natal Daily News, 2/4/1970; D. Davies"
1970.01.23.c,23-Jan-1970,1970,Unprovoked,MOZAMBIQUE,Limpopo River,"Gijana, 150 km inland",Swimming,M,16,Leg severed at knee,N,,"Natal Daily News, 2/4/1970; D. Davies"
1970.01.23.b,23-Jan-1970,1970,Unprovoked,MOZAMBIQUE,Limpopo River,"Gijana, 150 km inland",Swimming,M,12,"Arm severed, thigh bitten",N,,"Natal Daily News, 2/4/1970; D. Davies"
1970.01.23.a,23-Jan-1970,1970,Unprovoked,MOZAMBIQUE,Limpopo River,"Gijana, 150 km inland",Swimming,M,10,Leg severed at knee,N,,"Natal Daily News, 2/4/1970; D. Davies"
1970.01.16,    16-Jan-1970,1970,Sea Disaster,EGYPT,Red Sea,A few miles south of Port Suez,Air disaster,M,,FATAL,Y,,"The Progress, 1/17/1970"
1970.01.10,10-Jan-1970,1970,Unprovoked,MEXICO,Guerrero,Acapulco,Swimming,M,22,Leg bitten,N,,"A. Resciniti, p.110"
1970.01.09.R,Reported 09-Jan-1970,1970,Unprovoked,ENGLAND,Devon,Teignmouth,Attempted to return injured shark to the sea,M,,Leg bitten,N,,"Reading Eagle, 1/9/1970"
1970.01.00, Jan-1970,1970,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,,Freediving,M,15,Lacerations to back,N,,"Brainerd Daily Dispatch, 1/13/1970"
1970.00.00.h,1970s,1970,Unprovoked,SRI LANKA,Western Province,Colombo Harbor,Spearfishing / freediving,M,,Swim fins badly torn by the shark's teeth,N,,R. I. DeSilva.GSAF
1970.00.00.g,Late 1970s,1970,Unprovoked,SPAIN,Canary Islands,"Icod de los Vinos, Tenerife",Spearfishing,M,,Minor injury,N,,C. Moore. GSAF
1970.00.00.f,Ca. 1970,1970,Boating,ITALY,Sardinia,Golfo di Oristano,Fishing on a boat,M,,No injury,N,,A. De Maddalena; M. Cottiglia (pers. Comm.)
1970.00.00.e,1970,1970,Unprovoked,CROATIA,Zadar County,Novigrad,Spearfishing,M,,No details,UNKNOWN,,A. De Maddalena; A. Mojetta (pers. Comm.)
1970.00.00.d,1970s,1970,Unprovoked,IRAQ,Basrah,Shatt-al-Arab River,Washing cooking pans,F,28,Left hand severed,N,afternoon,B.W. Coad & L.A.J. Al-Hassan
1970.00.00.c,1970s,1970,Unprovoked,IRAQ,Basrah,Shatt-al-Arab River near Abu al Khasib,Washing clothes on stairs,F,25,Left foot severed,N,,B.W. Coad & L.A.J. Al-Hassan
1970.00.00.b,1970s,1970,Unprovoked,IRAQ,Basrah,Shatt-al-Arab River,Swimming,M,35,"FATAL, left leg severed",Y,morning,B.W. Coad & L.A.J. Al-Hassan
1970.00.00.a,1970s,1970,Unprovoked,IRAQ,Basrah,Shatt-al-Arab River,"Fishing, trying to catch the end of his fishing line",M,35,Left hand bitten,N,afternoon,B.W. Coad & L.A.J. Al-Hassan
1969.11.30,30-Nov-1969,1969,Unprovoked,AUSTRALIA,Western Australia,"Swan River, 13 miles upstream",Swimming,M,15,Left thigh lacerated,N,afternoon,"Sydney Morning Herald, 12/1/1969 "
1969.11.11,11-Nov-1969,1969,Unprovoked,USA,Hawaii,"Barbers Point, O'ahu",Scuba diving for lobsters,M,,"Abrasions on upper leg, laceration on ankle, scuba tank bitten",N,,"H.D. Baldridge, p.185; J. Borg, p.74;  L. Taylor (1993), pp.102-103"
1969.11.05,05-Nov-1969,1969,Provoked,AUSTRALIA,New South Wales,"Marineland, Sydney",,M,27,PROVOKED INCIDENT,N,,"J. Green, p.36"
1969.10.14,14-Oct-1969,1969,Unprovoked,USA,Hawaii,Hawaii,Diving,M,,No injury,N,morning,H.D. Baldridge (1994) SAF Case #1579
1969.09.06,06-Sep-1969,1969,Unprovoked,USA,California,"Bird Rock, Tomales Point, near Marin County / Sonoma County border",Free diving for abalone,M,53,Leg & ankle severely bitten,N,morning,"D. Miller & R. Collier; R. Collier, pp.42-44; H.D. Baldridge, p.78;"
1969.08.29,29-Aug-1969,1969,Unprovoked,USA,Florida,"North Beach, St. Lucie County",Floating on his back,M,,Laceration to right leg,N,afternoon,"News Tribune, 8/30/1969"
1969.08.22,22-Aug-1969,1969,Provoked,USA,Massachusetts,40 miles south of Nantucket,Fishing,M,28,Leg bitten by netted shark PROVOKED INCIDENT,N,,"Portsmouth Herald, 8/23/1969"
1969.08.02,02-Aug-1969,1969,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,Lacerations to lower leg,N,morning,"St. Petersburg Times, 8/3/1969; H.D. Baldridge (1994) SAF Case #1570"
1969.08.01,02-Aug-1969,1969,Unprovoked,USA,Florida,"St. Petersburg, Pinnellas County",Body surfing,M,13,Lacerations to right lower leg & left arm and hand,N,afternoon,"NYTimes, 8/3/1969"
1969.07.22,22-Jul-1969,1969,Provoked,USA,Florida,Florida Keys,,M,13,Scrape on head. Recorded as PROVOKED INCIDENT,N,afternoon,H.D. Baldridge (1994) SAF Case #1603
1969.07.20,20-Jul-1969,1969,Unprovoked,USA,California,"Pigeon Point, San Mateo County",Freediving for abalone (at surface),M,,"Foot bitten, minor injury",N,morning,"D. Miller & R. Collier; R. Collier, p. 42"
1969.06.27,27-Jun-1969,1969,Unprovoked,USA,Florida,Florida Keys,Wading,M,22,No details,UNKNOWN,,H.D.Baldridge (1994) SAF Case #1652
1969.06.12,12-Jun-1969,1969,Unprovoked,JAMAICA,Clarendon,Off Rocky Point,Diving,M,27,Multiple lacerations,N,morning,"The Gleaner, 6/20/1969"
1969.06.00,Jun-1969,1969,Unprovoked,USA,Florida,Sarasota County,Wading,M,8,No injury,N,afternoon,H.D.Baldridge (1994) SAF Case #1609
1969.05.25,25-May-1969,1969,Provoked,USA,Texas,Packery Channel,Surf-fishing,M,,Foot lacerated when he stepped on the shark  PROVOKED INCIDENT,N,afternoon,"Corpus Christi Times, 5/26/1969; H.D.Baldridge (1994) SAF Case #1629"
1969.05.24,24-May-1969,1969,Provoked,USA,Florida,Sarasota County,Diving,M,23,Laceration to buttocks Recorded as PROVOKED INCIDENT,N,morning,H.D.Baldridge (1994) SAF Case #1596
1969.04.22,22-Apr-1969,1969,Invalid,AUSTRALIA,New South Wales,"Kingscliffe Beach, south of Tweed Heads",Netting pilchards,M,,No injury,,,"J. Green, p.36"
1969.04.19,19-Aug-1969,1969,Provoked,USA,Florida,"Marathon, Monroe County",Fishing,M,,Laceration to foot from dead shark PROVOKED INCIDENT,N,,"Tri-City Herald, 4/21/1969"
1969.03.25,25-Mar-1969,1969,Provoked,AUSTRALIA,New South Wales,Newcastle,,M,65,Foot lacerated. Recorded as PROVOKED INCIDENT,N,,H.D.Baldridge (1994) SAF Case #1612
1969.03.09,09-Mar-1969,1969,Unprovoked,USA,Hawaii,"Makaha, O'ahu",Surfing,M,16,Leg & surfboard bitten,N,afternoon,"J. Borg, p.73; L. Taylor (1993), pp.102-103"
1969.02.17.R,Reported 17-Feb-1969,1969,Provoked,AUSTRALIA,Tasmania,Taroona,Fishing,M,49,Lacerations to hand from hooked shark PROVOKED INCIDENT,N,,"C. Black, GSAF"
1969.02.00,Feb-1969,1969,Invalid,AUSTRALIA,Queensland,Cooktown,Hard hat diving,M,52,No details,,,H.D.Baldridge (1994) SAF Case #1591
1969.01.27,27-Jan-1969,1969,Unprovoked,AUSTRALIA,New South Wales,Beecroft Head,Freediving,M,21,Abrasions and lacerations to lower right leg,N,morning,H.D.Baldridge (1994) SAF Case #1560
1969.01.00,Jan-1969,1969,Unprovoked,AUSTRALIA,Victoria,Port MacDonnel,,M,,Minor injury ,N,,"H.D.Baldridge (1994), SAF Case #1594"
1968.12.29,29-Dec-1968,1968,Invalid,SOUTH AFRICA,KwaZulu-Natal,Port St. John's,Freediving,M,,No injury,,,H.D.Baldridge (1994) SAF Case #1588. Note: Unable to verify in local records
1968.12.26,26-Dec-1968,1968,Provoked,AUSTRALIA,New South Wales,"Marineland Aquarium, Manley, Sydney",Feeding mullet to sharks,M,27,Laceration to finger by a captive shark PROVOKED INCIDENT,N,morning,"The Age, 12/27/1968"
1968.12.25,25-Dec-1968,1968,Unprovoked,NEW ZEALAND,South Island,"St. Clair Beach, Dunedin",Surfing,M,17,"Hit in face by shark, arm abraded, surfboard bitten",N,afternoon,"R. D. Weeks, GSAF; Otago Daily Times, 12/26/1968"
1968.12.09,09-Dec-1968,1968,Unprovoked,AUSTRALIA,South Australia,Thistle Island,,M,,Survived,N,,"T. Peake, GSAF"
1968.12.02,02-Dec-1968,1968,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Bluff, Durban",Spearfishing,M,28,"No injury, left elbow & torso bumped by sharks",N,,"A. Heydorn, ORI"
1968.11.06,06-Nov-1968,1968,Boating,SOUTH AFRICA,KwaZulu-Natal,Ramsgate,Fishing,M,22,"Shark leapt into boat, landed on Hlope's back, then bit his left forearm",N,,"M. Levine, GSAF"
1968.11.02,02-Nov-1968,1968,Provoked,AUSTRALIA,Western Australia,,,M,16,Abrasion on shoulder Recorded as PROVOKED INCIDENT,N,afternoon,H.D. Baldridge (1994) SAF Case #1533
1968.10.13,13-Oct-1968,1968,Unprovoked,USA,Florida,"Egmont Key, Hillsborough County",Spearfishing using Scuba,M,,Swim fin bitten,N,,"H.D. Baldridge, p.185"
1968.09.15,15-Sep-1968,1968,Unprovoked,NEW ZEALAND,South Island,Otago Harbor,Spearfishing,M,24,"FATAL, left leg bitten, femoral artery severed  ",Y,morning,"R.D. Weeks, GSAF; Otago Daily Times, 9/16/1968; H.D. Baldridge, pp.18-19"
1968.08.24,24-Aug-1968,1968,Unprovoked,USA,Florida,Half mile north of Juno Beach Pier,Playing with a frisbee in the shallows,,10,"Shark bumped Colleen, the nudged Scott, then bit Frisbee & swam away with it",N,afternoon,"M. Vorenberg, GSAF"
1968.08.21,21-Aug-1968,1968,Unprovoked,USA,Florida,Okaloosa County,Standing,M,15,Leg & arm bitten,N,afternoon,"Brownsville Herald, 8/14/1968; H.D.Baldridge, SAF Case  #1553"
1968.08.13,13-Aug-1968,1968,Unprovoked,FRENCH POLYNESIA,Society Islands,Tahiti,Swimming,M,12,Finger severed,N,,"H.D.Baldridge, SAF Case #1531"
1968.08.11,11-Aug-1968,1968,Unprovoked,MALAYSIA,Johor,Pulau Aur,Leaving the water,,41,Hand lacerated,N,morning,"H.D.Baldridge, SAF Case #1541"
1968.08.08,08-Aug-1968,1968,Unprovoked,COLUMBIA,Magdalena Department,"Makuaka Caño, Taganga",Dynamite fishing,M,18,Lacerations to head,N,morning,"SoHo.com, 11/19/2-11"
1968.07.27,27-Jul-1968,1968,Unprovoked,USA,California,"Bodega Rock, Sonoma County",Free diving,M,25,Major injury to torso,N,morning,"D. Miller & R. Collier; R. Collier, pp.41-42; H.D. Baldridge, p.76, 138, 191, 194, 206"
1968.07.23,23-Jul-1968,1968,Unprovoked,USA,Florida,Florida Keys,Wading,M,33,Abrasions on lower leg,N,morning,"H.D.Baldridge, SAF Case #1542"
1968.07.16,16-Jul-1968,1968,Unprovoked,USA,South Carolina,"Stono Inlet, near Charleston, Charleston County",Spearfishing using Scuba,M,33,Swimfin & knee bitten,N,afternoon,"H.D.Baldridge, p.284"
1968.07.10,10-Jul-1968,1968,Unprovoked,BAHAMAS,Great Exuma Island,Children's Bay Cay near Rollerville,Small boat with 2 men onboard hit a submerged coral formation. Men began swimming to shore,M,,"FATAL, taken by shark  ",Y,,"Reported by F.S.T. Baker to M. Vorenberg, pp.154-155"
1968.07.00,Jul-1968,1968,Invalid,MEXICO,Baja California,,,M,43,No injury,,afternoon,"H.D.Baldridge, SAF Case #1613"
1968.06.25,25-Jun-1968,1968,Unprovoked,BAHAMAS,Eleuthera,Spanish Wells ,Spearfishing,M,17,"Bumped shoulder, bit head",N,,"H.D. Baldridge, p.260; Clark, p.87"
1968.06.09,09-Jun-1968,1968,Unprovoked,USA,Florida,"Mullet Key, Pinellas County",Clamming,M,17,Lacerations to lower right leg & andkle,N,morning,"Evening Indeipendent, 6/10/1968, p.3"
1968.05.00,May-1968,1968,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,,Standing,M,17,Lower leg severely lacerated,N,,H.D. Baldridge (1994) SAF Case #1520
1968.04.29,29-Apr-1968,1968,Invalid,USA,Florida,"Fort Lauderdale, Broward County",Wading,M,63,Foot severely injured,,afternoon,"News Journal, 5/1/1968"
1968.04.20,20-Apr-1968,1968,Unprovoked,USA,Florida,"Palm Beach Shores, Riviera Beach, Singer Island, Palm Beach County",,M,10,"Buttock, both legs & arm bitten",N,morning,"M. Vorenberg, GSAF; R. Skocik, pp.168-169; H.D. Baldridge, p.203; Note: A. Resciniti, p.35, also refers to an earlier attack on a snorkeler. The shark bit the boy's calf and both swim fins."
1968.04.15,15-Apr-1968,1968,Unprovoked,AUSTRALIA,New South Wales,South Coast,"Diving. Shark swallowed his hand, so he threw his other around the shark and went shark-back riding for 30 yards until the shark opened its jaws",M,21,Hand lacerated,N,,"Sydney Morning Herald, 4/28/1968 "
1968.04.11.R,Reported 11-Apr-1968,1968,Unprovoked,PAPUA NEW GUINEA,Gulf Province,Orokolo Bay,Swimming,M,7,FATAL Laceration to chest,Y,,"The Age, 4/11/1968, p.4"
1968.04.07,07-Apr-1968,1968,Provoked,AUSTRALIA,New South Wales,Stockton Bight,,M,47,Foot lacerated Recorded as PROVOKED INCIDENT,N,,"J. Green, p.36; H. D. Baldridge (1994) SAF Case #1528"
1968.03.25,25-Mar-1968,1968,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Richards Bay,Wading & pushing dinghy toward  the shallows,M,35,Left thigh lacerated,N,afternoon,"J. Bass, H.A. Jones, A. Heydorn & D. Illing"
1968.03.10,10-Mar-1968,1968,Unprovoked,USA,Florida,"Jensen Beach, Martin County",Surfing,M,20,Foot lacerated,N,afternoon,H.D. Baldridge (1994) SAF Case #1548
1968.03.00,Mar-1968,1968,Invalid,USA,Florida,Florida Keys,Treading water,M,28,No injury,,night,H.D. Baldridge (1994) SAF Case #1530
1968.02.26,26-Feb-1968,1968,Unprovoked,USA,Florida,Palm Beach County,Surfing,M,17,Foot lacerated,N,morning,"H.D. Baldridge, #1549"
1968.02.20,20-Feb-1968,1968,Unprovoked,AUSTRALIA,Western Australia,Swan River,Swimming,F,14,Thigh lacerated,N,,"J. Green, p.36"
1968.02.18,18-Feb-1968,1968,Provoked,NEW ZEALAND,North Island,"Pilot Bay, Mt Maunganui ",Picking up shark by the tail,F,,Wrist bitten PROVOKED INCIDENT,N,,"R.D. Weeks, GSAF; Otago Daily Times, 2/20/1968; H.D. Baldridge (1994) SAF Case #1525"
1968.02.04,04-Feb-1968,1968,Unprovoked,AUSTRALIA,South Australia,Cape Jervis,Spearfishing,M,26,"No injury, speargun bitten",N,afternoon,"H.D. Baldridge, p.199"
1968.01.17,17-Jan-1968,1968,Unprovoked,PAPUA NEW GUINEA,Morobe Province,Finschafen,Swimming,,13,FATAL,Y,afternoon,H.D. Baldridge (1994) SAF Cases #1519 & #1584
1968.00.00.c,1968,1968,Unprovoked,COSTA RICA,Limón Province,Parismina,Swimming after his canoe capsized,M,,FATAL,Y,,"Kokomo Tribune, 5/11/1969"
1967.12.30,30-Dec-1967,1967,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Surfing,M,22,Right ankle & foot bitten,N,afternoon,"B. Pearson, M. Levine, GSAF"
1967.12.21.R,Reported 21-Dec-1967,1967,Invalid,PAPUA NEW GUINEA,Central Province,Port Moresby,Spearfishing,M,32,No injury,,,H.D. Baldridge (1994) 
1967.12.17,17-Dec-1967,1967,Unprovoked,AUSTRALIA,Victoria,"Cheviot Beach, Portsea, Port Phillip Bay",Swimming,M,59,"FATAL, presumed taken by a shark, body not recovered",Y,,"H. Edwards, p.137-138"
1967.11.30.b,30-Nov-1967,1967,Provoked,AUSTRALIA,New South Wales,Wollongong,Freediving,M,15,Recorded as PROVOKED INCIDENT,N,,H.D. Baldridge (1994) SAF Case #1516
1967.11.30.a,30-Nov-1967,1967,Unprovoked,AUSTRALIA,Queensland,Surfer's Paradise,,M,18,Arm lacerated,N,,(1994) SAF Case #1524
1967.11.15,15-Nov-1967,1967,Provoked,FIJI,,,Freediving,M,21,Hand lacerated by speared shark PROVOKED INCIDENT,N,morning,H.D.Baldridge (1994) SAF Case #1537
1967.10.17,17-Oct-1967,1967,Unprovoked,USA,Florida,"McArthur Beach, Singer Island, Palm Beach Shores",Standing on sandbar,M,19,Left foot bitten,N,afternoon,"M. Vorenberg, GSAF"
1967.09.20,20-Sep-1967,1967,Invalid,USA,Hawaii,"Kailua Bay, O'ahu",Boat capsized between O'ahu & Molokai,M,,Remains found in a 3.4 m (11') tiger shark. Probable drowning & scavenging,,,"J. Borg, p.73; L. Taylor (1993), pp.102-103"
1967.09.13,13-Sep-1967,1967,Provoked,ITALY,Brindisi Province,Brindisi,Scuba diving,M,21,"Diver shot the shark, then it injured his arm and broke his leg with its tail.  PROVOKED INCIDENT",,,C. Moore. GSAF
1967.09.06,06-Sep-1967,1967,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,Lambom Island,Spearfishing,M,,FATAL,Y,,"The Age, 9/7/1967 "
1967.09.01,01-Sep-1967,1967,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,"Lamassa Island, 16 miles from Lambon Island",Spearfishing,M,23,FATAL,Y,,"F. Dennis, pp.23-24"
1967.08.27,27-Aug-1967,1967,Provoked,USA,California,Ventura,Pulling shark from the water,M,24,Nipped on shoulder by captive shark PROVOKED INCIDENT,N,afternoon,"Ventura County Ad-Visor, 8/31/1967"
1967.08.26,26-Aug-1967,1967,Unprovoked,JAPAN,Kagawa Prefecture,Sakaide,,M,19,FATAL,Y,afternoon,K. Nakaya
1967.08.25,25-Aug-1967,1967,Unprovoked,ITALY,Liguria," Marinella Sarzana, La Spezia ",Spearfishing on Scuba,M,,Minor injuries to face & forearm,N,,"C. Moore, GSAF"
1967.08.19,19-Aug-1967,1967,Unprovoked,AUSTRALIA,Western Australia,Jurien Bay,"Spearfishing, dived to pick up a float line",M,23,"FATAL, ""bitten in two""",Y,morning,"H. Edwards, pp.35-42; H.D. Baldridge, p.28; A. Sharpe, pp.132-133; A. MacCormick, p.86; J. West, ASAF"
1967.08.15,15-Aug-1967,1967,Unprovoked,BERMUDA,Hamilton,Hamilton,Floating,F,19,Right foot abraded & lacerated,N,afternoon,"Gettysburg Times, 8/15/1967"
1967.08.10,10-Aug-1967,1967,Invalid,AUSTRALIA,New South Wales,Jervis Bay,Anti-sabotage night dive exercise alongside destroyer (Scuba diving),M,19,"Disappeared, no trace of men or equipment, shark attack considered",,night,"H.D. Baldridge, p.184"
1967.08.07,07-Aug-1967,1967,Unprovoked,USA,Florida,Near Key West,Spearfishing,M,15,Shark grasped thigh,N,afternoon,"H.D. Baldridge, p.193; Clark, p.86"
1967.08.00.b,Aug-1967,1967,Unprovoked,BAHAMAS,Out Islands,Andros Island,Photographing sharks underwater using Scuba,M,41,"No injury, shark struck camera",N,,"H.D. Baldridge, p.185"
1967.08.00.a,Aug-1967,1967,Unprovoked,SENEGAL,Cap Vert Peninsula,Hann,Beach seine netting,M,,Ankle bitten,N,,S. Trape
1967.07.29,29-Jul-1967,1967,Unprovoked,USA,Florida,Florida Keys,Snorkeling,M,20,Foot lacerated,N,afternoon,"H.D.Baldridge, SAF Case #1538"
1967.07.05,05-Jul-1967,1967,Unprovoked,TURKEY,Mugla Province,Kucukada Island,Spearfishing,M,36,FATAL,Y,afternoon,"C. Moore, GSAF"
1967.07.00,Jul-1967,1967,Invalid,USA,South Carolina,,Surfing,M,18,Incident not confirmed,,afternoon,H.D. Baldridge (1994) SAF Case #1637
1967.06.13,13-Jun-1967,1967,Provoked,USA,Florida,"Key West, Monroe County",Spearfishing,M,26,"After shark was speared & hit on head, it bit the divers foot  PROVOKED INCIDENT",N,afternoon,"H.D. Baldridge, p.192; M. McDiarmid, p.70"
1967.06.00,Jun-1967,1967,Provoked,ITALY,Sicily,Stretto di Messina,Fishing boat,M,,"No injury to occupants,  harpooned shark sank boat PROVOKED INCIDENT",N,,A. De Maddalena; Giudici & Fino (1989)
1967.05.13,13 or 30-May-1967,1967,Provoked,AUSTRALIA,South Australia,Outer Harbor,,M,30,Thigh abraded & lacerated Recorded as PROVOKED INCIDENT,N,morning,"J. Green, p.36; H. D. Baldridge (1994) SAF Case #1464"
1967.05.09,09-May-1967,1967,Provoked,AUSTRALIA,,Aquarium,Feeding a shark,M,22,Recorded as PROVOKED INCIDENT,N,afternoon,H.D.Baldridge (1994) SAF Case #1536
1967.04.00,Apr-1967,1967,Provoked,UNITED KINGDOM,Gibraltar,,Fishing,M,60,Tooth knocked out by hooked shark PROVOKED INCIDENT,N,,C. Moore. GSAF
1967.03.20,20-Mar-1967,1967,Provoked,NEW ZEALAND,North Island,Leigh,Freediving,M,21,Abrasions to lower leg Recorded as PROVOKED INCIDENT,N,afternoon,H.D. Baldridge (1994) SAF Case #1521
1967.03.19,19-Mar-1967,1967,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Paradise Reef,Spearfishing,M,32,"Punctures in right buttock & thigh, abrasion on right forearm",N,morning,"L. Jones, M. Levine, GSAF;. D'Aubrey, ORI"
1967.03.12,12-Mar-1967,1967,Provoked,AUSTRALIA,Victoria,Geelong,Spearfishing,M,36,Speared shark lacerated his arm PROVOKED INCIDENT,N,afternoon,"H.D. Baldridge, SAF Case #1466"
1967.03.09,09-Mar-1967,1967,Unprovoked,NEW ZEALAND,South Island,St. Kilda Beach,Lifesaving drill,M,21,"FATAL, seen taken by a shark ",Y,afternoon,"R.D. Weeks, GSAF; J. Garrick; West Australian (Perth), 3/10/1967"
1967.03.01,01-Mar-1967,1967,Unprovoked,PAPUA NEW GUINEA,New Britain,"Barawon Beach, near Rabaul",,M,14,Leg bitten,N,,"F. Dennis, p.23; H.D. Baldridge (1994) SAF Case #1534"
1967.02.06,06-Feb-1967,1967,Sea Disaster,MEXICO,Veracruz,Cabo Rojo,The shrimper Loless Maurine capsized in heavy seas & the men were swimming ashore  ,M,,FATAL,Y,afternoon,"Brownsville Herald, 1/28/1968"
1967.01.27,27-Jan-1967,1967,Boating,SOUTH AFRICA,Western Cape Province,Melkbosstrand,Fishing for rock lobster,,,"Holed & sank boat, 1 man flung into water but ignored by the shark",N,,GSAF
1967.01.22,22-Jan-1967,1967,Provoked,SOUTH AFRICA,Western Cape Province,Whittle Rock False Bay,Spearfishing Competition,M,,"No injury, shark bit support boat, removing pieces of wood after Gerricke shot it  PROVOKED INCIDENT",N,,"H.D. Baldridge, p.128"
